id;taxonomy_id;title;course_id;order_no;created_at;updated_at
11178;NULL;Flodkulturerna;11177;1;2012-04-05 06:45;2016-05-27 13:29
11185;NULL;Mesopotamien;11177;2;2012-04-05 06:45;2016-05-27 13:29
11191;NULL;Nilkulturen;11177;3;2012-04-05 06:46;2016-05-27 13:29
11212;NULL;Grekland;11211;0;2012-04-05 07:06;2016-05-27 13:29
11226;NULL;Romarriket;11211;0;2012-04-05 07:07;2016-05-27 13:29
11238;NULL;Bakgrund;11237;1;2012-04-05 07:08;2016-05-27 13:29
11247;NULL;Amerikanska revolutionen;11237;0;2012-04-05 07:08;2016-05-27 13:29
11253;NULL;Franska revolutionen;11237;0;2012-04-05 07:08;2016-05-27 13:29
11262;NULL;1800-talet;11261;0;2012-04-05 07:09;2016-05-27 13:29
11287;NULL;Industriella revolutionen;11237;0;2012-04-05 07:11;2016-05-27 13:29
11304;NULL;Forsta varldskriget;11298;2;2012-04-05 07:11;2016-05-27 13:29
11379;NULL;Grundlaggande matematik;11378;20;2012-04-05 07:15;2016-10-10 11:17
11403;NULL;Rimlighetsbedomningar;11378;80;2012-04-05 07:16;2016-10-11 08:56
11409;NULL;Potenser;11378;70;2012-04-05 07:16;2016-10-11 08:56
11420;NULL;Grundlaggande ekvationer;11419;20;2012-04-05 07:17;2016-10-10 11:28
11427;NULL;Ekvationsrakning;11419;30;2012-04-05 07:17;2016-10-10 11:28
11433;NULL;Triangelns geometri;38406;20;2012-04-05 07:17;2016-10-10 11:22
11439;NULL;Fyrhorningars geometri;38406;30;2012-04-05 07:17;2016-10-10 11:22
11443;NULL;Cirkelns geometri;38406;40;2012-04-05 07:18;2016-10-10 11:22
11446;NULL;Tredimensionella objekt;38406;60;2012-04-05 07:18;2016-10-10 11:23
11453;NULL;Likformighet och skala;38406;50;2012-04-05 07:18;2016-10-10 11:23
11462;NULL;Sannolikhet & statistik;11461;10;2012-04-05 07:19;2016-10-11 11:59
